pl_name,hostname,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
11 Com b,11 Com,Radial Velocity,326.03,0.32,-0.32,19.4,1.5,-1.5,19.4,1.5,-1.5,,,,1.29,0.05,-0.05,0.231,0.005,-0.005
11 Com b,11 Com,Radial Velocity,,,,17.1,1.7,-1.3,17.1,1.7,-1.3,,,,1.21,0.06,-0.05,,,
16 Cyg B b,16 Cyg B,Radial Velocity,799.5,0.6,-0.6,1.68,0.07,-0.07,1.68,0.07,-0.07,,,,1.68,0.03,-0.03,0.689,0.011,-0.011
16 Cyg B b,16 Cyg B,Radial Velocity,798.5,1.0,-1.0,1.78,0.08,-0.08,1.78,0.08,-0.08,,,,1.66,0.03,-0.03,0.68,0.02,-0.02
16 Cyg B b,16 Cyg B,Radial Velocity,800.8,11.7,-11.7,1.5,,,1.5,,,,,,1.6,,,0.634,0.082,-0.082
16 Cyg B b,16 Cyg B,Radial Velocity,799.5,0.6,-0.6,1.68,0.07,-0.07,1.68,0.07,-0.07,,,,1.68,0.03,-0.03,0.689,0.011,-0.011
16 Cyg B b,16 Cyg B,Radial Velocity,798.5,1.0,-1.0,1.68,0.15,-0.15,1.68,0.15,-0.15,,,,1.681,0.097,-0.097,0.681,0.017,-0.017
16 Cyg B b,16 Cyg B,Radial Velocity,799.45,0.15,-0.15,1.752,0.054,-0.053,1.752,0.054,-0.053,,,,1.676,0.025,-0.025,0.6832,0.0031,-0.0031
18 Del b,18 Del,Radial Velocity,,,,9.84,0.3,-0.3,9.84,0.3,-0.3,,,,2.54,0.04,-0.04,,,
18 Del b,18 Del,Radial Velocity,993.3,3.2,-3.2,10.3,,,10.3,,,,,,2.6,,,0.08,0.01,-0.01
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,,,,13.0,1.0,-1.0,,,,,,,84.0,,,,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,406.0,4.0,-4.0,1.86,0.05,-0.05,1.86,0.05,-0.05,,,,,,,0.33,0.05,-0.05
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,416.0,2.0,-2.0,1.9,0.1,-0.1,,,,,,,0.92,0.02,-0.02,,,
30 Ari B b,30 Ari B,Radial Velocity,345.4,3.8,-3.8,6.6,0.9,-0.9,6.6,0.9,-0.9,,,,1.01,0.01,-0.01,0.18,0.11,-0.11
30 Ari B b,30 Ari B,Radial Velocity,335.1,2.5,-2.5,9.88,0.94,-0.94,9.88,0.94,-0.94,,,,0.995,0.012,-0.012,0.289,0.092,-0.092
30 Ari B b,30 Ari B,Radial Velocity,335.10001,2.5,-2.5,13.82,1.8,-1.8,13.82,1.8,-1.8,,,,0.99,0.02,-0.02,0.29,0.09,-0.09
42 Dra b,42 Dra,Radial Velocity,479.1,6.2,-6.2,3.88,0.85,-0.85,3.88,0.85,-0.85,,,,1.19,0.01,-0.01,0.38,0.06,-0.06
51 Eri b,51 Eri,Imaging,14965.0,12775.0,-4380.0,,,,,,,,,,14.0,7.0,-3.0,0.21,0.19,-0.15
51 Eri b,51 Eri,Imaging,,,,2.0,,,,,,,,,13.2,0.2,-0.2,,,
