pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec
11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,1,2,1,0,0,Radial Velocity,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2008-01,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,,,,,,,,,,,,,,,,,6165.6,476.7,-476.7,0,19.4,1.5,-1.5,0,,,,,,,,,6165.6,476.7,-476.7,0,19.4,1.5,-1.5,0,Msini,,,,,0.231,0.005,-0.005,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2452899.6,1.6,-1.6,0,94.8,1.5,-1.5,0,302.8,2.6,-2.6,0,,,,,,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742,100,-100,0,19,2,-2,0,2.7,0.3,-0.3,0,-0.35,0.09,-0.09,0,[Fe/H],2.243,0.071,-0.085,0,2.31,0.1,-0.1,0,,,,,,,,,1.2,1,-1,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.42177,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846,1.9238,-1.9238,10.7104,0.219739,-0.219739,5.726,0.017,-0.017,4.72307,0.023,-0.023,2.943,0.334,-0.334,2.484,0.268,-0.268,2.282,0.346,-0.346,,,,,,,,,,,,,,,,0.639,,,0.732,,,2.358,0.01,-0.01,2.27,0.018,-0.018,4.44038,0.0038479,-0.0038479,,,,3.8379,0.0071,-0.0071,,,,5/14/2014,2008-01,5/14/2014,2,1,2,0,0,0
11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,0,2,1,0,0,Radial Velocity,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2008-01,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,1.21,0.06,-0.05,0,,,,,,,,,,,,,,,,,5434.7,540.3,-413.2,0,17.1,1.7,-1.3,0,,,,,,,,,5434.7,540.3,-413.2,0,17.1,1.7,-1.3,0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,,,,,,2.6,0.4,-0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.42177,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846,1.9238,-1.9238,10.7104,0.219739,-0.219739,5.726,0.017,-0.017,4.72307,0.023,-0.023,2.943,0.334,-0.334,2.484,0.268,-0.268,2.282,0.346,-0.346,,,,,,,,,,,,,,,,0.639,,,0.732,,,2.358,0.01,-0.01,2.27,0.018,-0.018,4.44038,0.0038479,-0.0038479,,,,3.8379,0.0071,-0.0071,,,,7/23/2014,2011-08,7/23/2014,2,1,2,0,0,0
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,0,3,1,0,0,Radial Velocity,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,1997-07,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007AJ....134.1276W/abstract target=ref> Wittenmyer et al. 2007 </a>,799.5,0.6,-0.6,0,1.68,0.03,-0.03,0,,,,,,,,,,,,,,,,,533.93,22.25,-22.25,0,1.68,0.07,-0.07,0,,,,,,,,,533.93,22.25,-22.25,0,1.68,0.07,-0.07,0,Msini,,,,,0.689,0.011,-0.011,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2450539.3,1.6,-1.6,0,83.4,2.1,-2.1,0,51.2,1.1,-1.1,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5747,143.26,-142.8,0,1.13,0.08,-0.05,0,1.03,0.15,-0.12,0,0.06,0.1,-0.1,0,[M/H],0.097,0.009,-0.013,0,4.35,0.1,-0.07,0,,,,,1.011,0.2927,-0.2008,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21563,211.1222128,0.0468803,-0.0468803,-134.791,0.0494634,-0.0494634,-162.493,0.0450169,-0.0450169,21.1397,0.011,-0.0111,47.2754,0.0245316,-0.0245316,6.876,0.0724983,-0.0724983,6.215,0.016,-0.016,4.993,0.037,-0.037,4.695,0.036,-0.036,4.651,0.016,-0.016,,,,,,,,,,,,,,,,4.773,0.236,-0.236,4.568,0.106,-0.106,4.926,0.033,-0.033,4.713,0.028,-0.028,6.06428,0.0006029,-0.0006029,,,,5.6281,0.006,-0.006,6.095,,,4/25/2018,2007-09,9/18/2014,0,1,4,3,0,0
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,1,3,1,0,0,Radial Velocity,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,1997-07,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.5,1,-1,0,1.66,0.03,-0.03,0,,,,,,,,,,,,,,,,,565.7374,25.4264,-25.4264,0,1.78,0.08,-0.08,0,,,,,,,,,565.7374,25.4264,-25.4264,0,1.78,0.08,-0.08,0,Msini,,,,,0.68,0.02,-0.02,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,1.6,-1.6,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750,8,-8,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.06,,,0,[Fe/H],,,,,4.36,0.01,-0.01,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21563,211.1222128,0.0468803,-0.0468803,-134.791,0.0494634,-0.0494634,-162.493,0.0450169,-0.0450169,21.1397,0.011,-0.0111,47.2754,0.0245316,-0.0245316,6.876,0.0724983,-0.0724983,6.215,0.016,-0.016,4.993,0.037,-0.037,4.695,0.036,-0.036,4.651,0.016,-0.016,,,,,,,,,,,,,,,,4.773,0.236,-0.236,4.568,0.106,-0.106,4.926,0.033,-0.033,4.713,0.028,-0.028,6.06428,0.0006029,-0.0006029,,,,5.6281,0.006,-0.006,6.095,,,9/4/2018,2017-03,9/6/2018,0,1,4,3,0,0
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,0,3,1,0,0,Radial Velocity,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,1997-07,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,800.8,11.7,-11.7,0,1.6,,,0,,,,,,,,,,,,,,,,,476.7,,,0,1.5,,,0,,,,,,,,,476.7,,,0,1.5,,,0,Msini,,,,,0.634,0.082,-0.082,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2448935.3,12,-12,0,83.2,12.7,-12.7,0,43.9,6.9,-6.9,0,,,,,,,,,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,G2.5 V,5760,20,-20,0,,,,,1,0.05,-0.05,0,0.05,0.06,-0.06,0,[Fe/H],,,,,4.35,0.07,-0.07,0,,,,,,,,,2.7,1,-1,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21563,211.1222128,0.0468803,-0.0468803,-134.791,0.0494634,-0.0494634,-162.493,0.0450169,-0.0450169,21.1397,0.011,-0.0111,47.2754,0.0245316,-0.0245316,6.876,0.0724983,-0.0724983,6.215,0.016,-0.016,4.993,0.037,-0.037,4.695,0.036,-0.036,4.651,0.016,-0.016,,,,,,,,,,,,,,,,4.773,0.236,-0.236,4.568,0.106,-0.106,4.926,0.033,-0.033,4.713,0.028,-0.028,6.06428,0.0006029,-0.0006029,,,,5.6281,0.006,-0.006,6.095,,,4/25/2018,1997-07,8/21/2014,0,1,4,3,0,0
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,0,3,1,0,0,Radial Velocity,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,1997-07,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,799.5,0.6,-0.6,0,1.68,0.03,-0.03,0,,,,,,,,,,,,,,,,,533.93,22.25,-22.25,0,1.68,0.07,-0.07,0,,,,,,,,,533.93,22.25,-22.25,0,1.68,0.07,-0.07,0,Msini,,,,,0.689,0.011,-0.011,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2450539.3,1.6,-1.6,0,83.4,2.1,-2.1,0,51.2,1.1,-1.1,0,,,,,,,,,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,G3 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21563,211.1222128,0.0468803,-0.0468803,-134.791,0.0494634,-0.0494634,-162.493,0.0450169,-0.0450169,21.1397,0.011,-0.0111,47.2754,0.0245316,-0.0245316,6.876,0.0724983,-0.0724983,6.215,0.016,-0.016,4.993,0.037,-0.037,4.695,0.036,-0.036,4.651,0.016,-0.016,,,,,,,,,,,,,,,,4.773,0.236,-0.236,4.568,0.106,-0.106,4.926,0.033,-0.033,4.713,0.028,-0.028,6.06428,0.0006029,-0.0006029,,,,5.6281,0.006,-0.006,6.095,,,4/25/2018,2007-01,9/18/2014,0,1,4,3,0,0
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,0,3,1,0,0,Radial Velocity,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,1997-07,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,798.5,1,-1,0,1.681,0.097,-0.097,0,,,,,,,,,,,,,,,,,533.9544,47.6745,-47.6745,0,1.68,0.15,-0.15,0,,,,,,,,,533.9544,47.6745,-47.6745,0,1.68,0.15,-0.15,0,Msini,,,,,0.681,0.017,-0.017,0,,,,,,,,,,,,,,,,,JD,0,,,,,,,,,,,,,,,,,,,,,,,,,2446549.1,6.6,-6.6,0,85.8,2.4,-2.4,0,50.5,1.6,-1.6,0,,,,,,,,,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,,5674,,,0,,,,,0.99,,,0,0.038,,,0,[Fe/H],,,,,4.36,,,0,,,,,,,,,2.18,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21563,211.1222128,0.0468803,-0.0468803,-134.791,0.0494634,-0.0494634,-162.493,0.0450169,-0.0450169,21.1397,0.011,-0.0111,47.2754,0.0245316,-0.0245316,6.876,0.0724983,-0.0724983,6.215,0.016,-0.016,4.993,0.037,-0.037,4.695,0.036,-0.036,4.651,0.016,-0.016,,,,,,,,,,,,,,,,4.773,0.236,-0.236,4.568,0.106,-0.106,4.926,0.033,-0.033,4.713,0.028,-0.028,6.06428,0.0006029,-0.0006029,,,,5.6281,0.006,-0.006,6.095,,,4/25/2018,2006-07,9/10/2015,0,1,4,3,0,0
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,0,3,1,0,0,Radial Velocity,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,1997-07,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,799.45,0.15,-0.15,0,1.676,0.025,-0.025,0,,,,,,,,,,,,,,,,,556.83537,17.16273,-16.84491,0,1.752,0.054,-0.053,0,,,,,,,,,556.83537,17.16273,-16.84491,0,1.752,0.054,-0.053,0,Msini,,,,,0.6832,0.0031,-0.0031,0,,,,,,,,,,,,,2456937.32,0.38,-0.38,0,BJD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.74,0.6,-0.6,0,53.16,0.32,-0.31,0,,,,,,,,,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5711.97,93.25,-93.25,0,1.16,0.03,-0.03,0,0.98,0.04,-0.04,0,0.074,0.061,-0.061,0,[Fe/H],,,,,4.3,0.03,-0.03,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21563,211.1222128,0.0468803,-0.0468803,-134.791,0.0494634,-0.0494634,-162.493,0.0450169,-0.0450169,21.1397,0.011,-0.0111,47.2754,0.0245316,-0.0245316,6.876,0.0724983,-0.0724983,6.215,0.016,-0.016,4.993,0.037,-0.037,4.695,0.036,-0.036,4.651,0.016,-0.016,,,,,,,,,,,,,,,,4.773,0.236,-0.236,4.568,0.106,-0.106,4.926,0.033,-0.033,4.713,0.028,-0.028,6.06428,0.0006029,-0.0006029,,,,5.6281,0.006,-0.006,6.095,,,9/20/2021,2021-05,9/20/2021,0,1,4,3,0,0
18 Del b,18 Del,b,HD 199665,HIP 103527,TIC 354489950,Gaia DR2 1756741374681702784,0,2,1,0,0,Radial Velocity,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,2008-06,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,2.54,0.04,-0.04,0,,,,,,,,,,,,,,,,,3127.3,95.3,-95.3,0,9.84,0.3,-0.3,0,,,,,,,,,3127.3,95.3,-95.3,0,9.84,0.3,-0.3,0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,,,,,,2.1,0.1,-0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.9748,58.69121,26.78678,320.59093,60.6038527,0.1566766,-0.1566766,-50.0335,0.147366,-0.147366,-34.1976,0.174949,-0.174949,76.222,0.6217,-0.6217,13.0922,0.106193,-0.106193,6.43,0.018,-0.018,5.51048,0.023,-0.023,4.032,0.236,-0.236,3.44,0.186,-0.186,3.366,0.204,-0.204,,,,,,,,,,,,,,,,3.37,0.373,-0.373,2.931,0.416,-0.416,3.355,0.013,-0.013,3.308,0.025,-0.025,5.27476,0.0026539,-0.0026539,,,,4.7181,0.0067,-0.0067,,,,7/23/2014,2011-08,7/23/2014,2,1,1,0,0,0
18 Del b,18 Del,b,HD 199665,HIP 103527,TIC 354489950,Gaia DR2 1756741374681702784,1,2,1,0,0,Radial Velocity,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,2008-06,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,993.3,3.2,-3.2,0,2.6,,,0,,,,,,,,,,,,,,,,,3273.5,,,0,10.3,,,0,,,,,,,,,3273.5,,,0,10.3,,,0,Msini,,,,,0.08,0.01,-0.01,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2451672,18,-18,0,166.1,6.5,-6.5,0,119.4,1.3,-1.3,0,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,G6 III,4979,18,-18,0,8.5,,,0,2.3,,,0,-0.052,0.023,-0.023,0,[Fe/H],1.602,,,0,2.82,0.06,-0.06,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.9748,58.69121,26.78678,320.59093,60.6038527,0.1566766,-0.1566766,-50.0335,0.147366,-0.147366,-34.1976,0.174949,-0.174949,76.222,0.6217,-0.6217,13.0922,0.106193,-0.106193,6.43,0.018,-0.018,5.51048,0.023,-0.023,4.032,0.236,-0.236,3.44,0.186,-0.186,3.366,0.204,-0.204,,,,,,,,,,,,,,,,3.37,0.373,-0.373,2.931,0.416,-0.416,3.355,0.013,-0.013,3.308,0.025,-0.025,5.27476,0.0026539,-0.0026539,,,,4.7181,0.0067,-0.0067,,,,5/14/2014,2008-06,5/14/2014,2,1,1,0,0,0
