System,Type,Type_ref,Gaia_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,distance_gspphot,distance_gspphot_upper,distance_gspphot_lower,pmra,pmra_error,pmdec,pmdec_error,pm,radial_velocity,radial_velocity_error
11 Com,G8+IIIFe-1,1989ApJS...71..245K,Gaia DR3 3946945413106333696,185.17876326802073,0.10265955,17.79326400102279,0.10379008,10.167679527196395,0.13647683,100.6914,105.4601,91.5184,-109.42580245388767,0.14367026,88.92991873499396,0.10672985,141.00545,43.251984,0.13928862
16 Cyg,,,,,,,,,,,,,,,,,,,
18 Del,G6III,1957ArA.....2...55O,Gaia DR3 1756741374681702784,314.60783047224203,0.05746131,10.839132980363669,0.040245607,13.302135426379998,0.06518407,--,--,--,-49.92076302613594,0.070462815,-34.508749064205716,0.04368574,60.687202,4.171299,0.11649046
2MASS J01033563-5515561,M5.0,2014AJ....147..146K,,,,,,,,,,,,,,,,,
2MASS J19383260+4603591,sdB+dM,2010MNRAS.408L..51O,Gaia DR3 2080063931448749824,294.6359183935303,0.027756467,46.066406876930394,0.03160684,2.440960935892718,0.031625494,--,--,--,5.2250442605003355,0.037355088,-4.404688765362467,0.042169448,6.8339133,--,--
30 Ari,F5V,2009A&A...507.1659G,Gaia DR3 102082477749475200,39.24129515303115,0.028020425,24.64800884963116,0.026261695,22.510724873268565,0.03152984,44.3601,44.4222,44.2924,140.9505231844596,0.033430036,-10.535567473770639,0.028294275,141.34372,12.378623,0.3073357
42 Dra,K1.5IIIFe-1,1989ApJS...71..245K,Gaia DR3 2256800156349110528,276.49754084162925,0.08326502,65.56336161882217,0.076497704,11.055986825557596,0.084134236,--,--,--,105.81550998408761,0.10726357,-26.845553339244336,0.10623377,109.167786,31.748833,0.120681904
51 Eri,F0IV,1995ApJS...99..135A,Gaia DR3 3205095125321700480,69.40074849308137,0.069258526,-2.473833383625505,0.03442226,33.4390324822182,0.07770842,30.1045,30.9226,29.8508,44.04884090373149,0.10085864,-64.02842203088811,0.07450798,77.71705,--,--
55 Cnc,K0IV-V,2003AJ....126.2048G,Gaia DR3 704967037090946688,133.146760620834,0.02994385,28.329783000362703,0.01983439,79.44818375718161,0.042877857,12.5796,12.5965,12.5712,-485.6808133468651,0.040257532,-233.51700529342878,0.03707892,538.90265,27.187504,0.12249401
75 Cet,K1III,1999MSS...C05....0H,Gaia DR3 2500064286492779264,38.039156607736466,0.09285401,-1.0350312130393102,0.07591072,12.171720961532358,0.09623004,81.118,81.948,80.3809,-23.26848260403418,0.09828476,-30.987274101501157,0.08225424,38.750916,-6.3396134,0.12565237
91 Aqr,K1-IIIFe-0.5,1989ApJS...71..245K,Gaia DR3 2630155547353593216,348.9745548677205,0.5586589,-9.087810189229959,0.20857851,22.092365568710097,0.1301702,--,--,--,369.4769954378475,0.5925647,-16.981476529252753,0.24350376,369.86703,-26.068363,0.13127498
CoRoT-2,G7V+K9V,2014A&A...565L...1P,Gaia DR3 4287820848378092672,291.7770452207228,0.012019838,1.3836617432734073,0.0098255025,4.689528477580811,0.014295013,212.016,212.6313,211.3497,-3.3597972463179033,0.01599304,-11.101355489801703,0.012099371,11.598635,24.825539,1.9754307
